DATE FORMAT	ORDER_NUMBER	SKU	PCS
02/01/2017	835884	373261	1.0
02/01/2017	835884	373273	1.0
02/01/2017	835883	280365	1.0
02/01/2017	835883	339224	1.0
02/01/2017	835883	349662	1.0
02/01/2017	835881	17769	1.0
02/01/2017	835881	303789	1.0
02/01/2017	835881	364753	1.0
02/01/2017	835882	184846	1.0
02/01/2017	835882	335349	1.0
02/01/2017	835882	336335	1.0
02/01/2017	835880	273013	1.0
02/01/2017	835880	288152	1.0
02/01/2017	835880	288155	1.0
02/01/2017	835876	344233	1.0
02/01/2017	835876	349890	1.0
02/01/2017	835876	353265	1.0
02/01/2017	835876	369428	1.0
02/01/2017	835874	242624	1.0
02/01/2017	835874	322892	1.0
02/01/2017	835874	351694	1.0
02/01/2017	835874	363391	1.0
02/01/2017	835873	348582	1.0
02/01/2017	835873	348638	1.0
02/01/2017	835873	361540	1.0
02/01/2017	835873	373252	1.0
02/01/2017	835871	214213	1.0
02/01/2017	835871	238490	1.0
02/01/2017	835871	308618	1.0
02/01/2017	835869	30249	1.0
02/01/2017	835869	362915	1.0
02/01/2017	835869	367993	1.0
02/01/2017	835868	55066	1.0
02/01/2017	835868	344619	1.0
02/01/2017	835868	344621	3.0
02/01/2017	835866	238490	1.0
02/01/2017	835866	336264	1.0
02/01/2017	835866	373281	1.0
02/01/2017	835867	263734	1.0
02/01/2017	835867	263737	1.0
02/01/2017	835867	363492	1.0
02/01/2017	835865	279559	1.0
02/01/2017	835865	295644	1.0
02/01/2017	835865	330782	1.0
02/01/2017	835863	245655	5.0
02/01/2017	835863	366773	5.0
02/01/2017	835863	369594	1.0
02/01/2017	835864	198007	1.0
02/01/2017	835864	254648	1.0
02/01/2017	835864	373272	1.0
02/01/2017	835860	364018	1.0
02/01/2017	835860	369472	1.0
02/01/2017	835860	369473	1.0
02/01/2017	835861	175091	1.0
02/01/2017	835861	369472	1.0
02/01/2017	835861	372231	1.0
02/01/2017	835859	231647	1.0
02/01/2017	835859	364478	1.0
02/01/2017	835859	372684	1.0
02/01/2017	835857	280366	1.0
02/01/2017	835857	310751	1.0
02/01/2017	835857	373408	1.0
02/01/2017	835858	245655	1.0
02/01/2017	835858	313599	1.0
02/01/2017	835858	366773	1.0
02/01/2017	835853	245655	1.0
02/01/2017	835853	321889	1.0
02/01/2017	835853	366773	1.0
02/01/2017	835852	338727	1.0
02/01/2017	835852	338729	1.0
02/01/2017	835852	338730	3.0
02/01/2017	835844	273997	1.0
02/01/2017	835844	319336	1.0
02/01/2017	835844	341641	1.0
02/01/2017	835847	139847	1.0
02/01/2017	835847	139852	1.0
02/01/2017	835847	327777	2.0
02/01/2017	835843	74315	1.0
02/01/2017	835843	238490	1.0
02/01/2017	835843	280364	1.0
02/01/2017	835841	265684	1.0
02/01/2017	835841	265685	1.0
02/01/2017	835841	314139	1.0
02/01/2017	835838	245655	1.0
02/01/2017	835838	302739	1.0
02/01/2017	835838	366773	1.0
02/01/2017	835837	139847	1.0
02/01/2017	835837	139852	1.0
02/01/2017	835837	327777	2.0
02/01/2017	835835	192928	1.0
02/01/2017	835835	323786	2.0
02/01/2017	835835	369838	1.0
02/01/2017	835832	29405	1.0
02/01/2017	835832	267093	1.0
02/01/2017	835832	373272	1.0
02/01/2017	835833	245655	4.0
02/01/2017	835833	366773	4.0
02/01/2017	835833	369594	2.0
02/01/2017	835830	245655	1.0
02/01/2017	835830	366773	1.0
02/01/2017	835830	369594	1.0
02/01/2017	835831	245655	4.0
02/01/2017	835831	366773	4.0
02/01/2017	835831	369594	2.0
02/01/2017	835828	369479	1.0
02/01/2017	835828	373286	1.0
02/01/2017	835828	373287	1.0
02/01/2017	835829	304358	1.0
02/01/2017	835829	304359	1.0
02/01/2017	835829	373272	1.0
02/01/2017	835826	255369	1.0
02/01/2017	835826	358298	1.0
02/01/2017	835826	364508	1.0
02/01/2017	835827	342059	2.0
02/01/2017	835827	362110	1.0
02/01/2017	835827	373262	1.0
02/01/2017	835825	369428	1.0
02/01/2017	835825	373261	1.0
02/01/2017	835825	373273	1.0
02/01/2017	835824	274075	1.0
02/01/2017	835824	356098	1.0
02/01/2017	835824	356100	1.0
02/01/2017	835819	335861	1.0
02/01/2017	835819	344618	1.0
02/01/2017	835819	373266	1.0
02/01/2017	835818	273997	1.0
02/01/2017	835818	319336	1.0
02/01/2017	835818	341641	1.0
02/01/2017	835812	337906	1.0
02/01/2017	835812	359788	1.0
02/01/2017	835812	368040	1.0
02/01/2017	835811	184845	1.0
02/01/2017	835811	369472	1.0
02/01/2017	835810	246600	1.0
02/01/2017	835810	332792	1.0
02/01/2017	835807	342849	1.0
02/01/2017	835807	351487	1.0
02/01/2017	835807	373266	1.0
02/01/2017	835808	310361	1.0
02/01/2017	835808	332187	1.0
02/01/2017	835808	355348	1.0
02/01/2017	835802	344625	3.0
02/01/2017	835802	369472	1.0
02/01/2017	835806	355364	1.0
02/01/2017	835806	364018	1.0
02/01/2017	835801	58289	1.0
02/01/2017	835801	368661	1.0
02/01/2017	835799	96608	1.0
02/01/2017	835799	362514	1.0
02/01/2017	835794	337910	1.0
02/01/2017	835794	359788	1.0
02/01/2017	835798	369472	1.0
02/01/2017	835798	369473	1.0
02/01/2017	835790	230435	1.0
02/01/2017	835790	369644	1.0
02/01/2017	835791	294330	1.0
02/01/2017	835791	369645	1.0
02/01/2017	835786	287068	1.0
02/01/2017	835786	302644	1.0
02/01/2017	835784	362914	1.0
